AGEP,PINCP,SEX,ESR,PUMA
24.051155,31055.076,2,1,300
17.746742,3954.3542,1,1,1801
24.751295,0.011077755,1,6,1002
82.32032,24881.514,2,6,100
38.650135,0.06472798,2,6,3207
81.233284,15536.2295,2,6,500
61.445107,5054.691,2,6,2907
67.542404,17411.26,1,6,3100
54.823277,163384.1,2,1,2903
62.663,49313.105,2,1,600
48.74868,0.0,1,6,3208
64.08577,52674.78,1,6,100
61.071716,17911.549,1,6,3213
66.18193,37712.273,2,6,1001
44.14457,21331.785,2,1,3100
41.65471,16710.959,1,1,1500
46.730415,47531.45,2,1,3213
36.92841,57568.527,2,6,2903
62.003284,19813.965,1,6,1900
70.5674,43320.98,2,1,2400
41.683582,86456.55,1,1,1001
58.556946,52574.105,2,1,1300
79.26679,36844.55,2,6,3002
49.499172,178988.3,1,1,300
18.042995,17827.443,1,6,2908
59.04082,0.06804029,2,6,2200
26.259747,7646.55,1,1,900
39.080254,0.022740442,1,6,802
64.24099,11913.625,2,6,3004
39.103146,0.0,1,6,3001
66.369156,118.07394,2,6,3004
27.069054,23330.084,1,1,2200
59.765728,8562.012,2,6,1300
52.03566,101942.805,2,1,3100
59.791195,30001.107,1,6,2901
64.667496,7994.15,2,6,200
68.72222,0.062277585,2,6,2703
18.238811,4281.7207,2,1,400
77.85269,32454.61,2,6,600
42.579037,133661.45,1,1,2101
54.812847,66222.14,1,1,2905
83.62746,16621.01,2,6,200
75.62007,41017.383,2,6,2907
23.618046,1364.7156,2,1,2000
38.19847,98785.22,1,1,2200
83.122696,29676.836,1,6,400
76.80432,27126.635,2,6,1702
35.152534,17218.348,1,1,2908
54.222507,46815.64,1,1,1100
53.480003,0.005462252,2,6,3210
22.090292,11206.986,2,1,3204
47.54635,4685.1377,2,6,1703
70.27406,23736.898,2,6,3300
89.41493,14120.548,2,6,1003
47.831364,60171.777,1,1,2000
63.29638,12381.304,1,1,1400
51.132103,56985.09,1,3,2600
59.16512,27866.254,2,1,3205
55.749302,21848.053,2,1,1702
49.722992,144399.83,1,1,1003
41.079918,10481.13,2,1,2300
57.69831,19901.48,2,1,1600
18.70506,0.0,1,6,1100
76.359924,36793.668,1,6,2906
69.84812,252886.39,1,1,1900
63.340637,13550.179,2,6,3003
31.552797,21068.76,2,1,1600
31.8947,17539.125,2,3,600
79.14928,0.0,2,6,2101
67.6603,9354.776,2,6,1200
29.70946,35537.42,1,1,300
38.84983,10778.899,2,1,600
57.94485,7261.636,1,6,2500
47.32363,22473.633,2,1,700
59.92343,19455.705,2,6,2800
50.054867,109548.59,1,1,2500
22.39439,3922.9673,1,1,2908
69.52243,20187.926,2,6,900
44.63954,20589.277,2,1,600
35.186127,60728.85,2,1,2701
55.718647,199536.47,1,1,3202
69.124756,51517.348,2,1,2800
74.415535,1351.8046,1,6,2902
47.237114,2042.3656,1,6,3204
29.079546,168667.3,1,1,2400
31.532917,72574.65,1,1,3100
72.35034,18711.275,1,1,3006
18.044895,9144.799,1,1,600
50.09653,10922.834,1,1,1200
67.50374,56548.31,1,1,3100
50.275723,26674.318,2,1,600
79.9332,23123.367,2,6,801
44.251358,83234.695,1,1,100
17.63173,0.064871155,1,6,3213
19.926777,4222.7363,2,6,802
26.423077,26357.457,1,1,700
23.422733,16500.246,1,3,1400
21.326307,5395.6235,2,1,801
64.297104,5374.133,2,6,400
26.457602,34647.465,2,1,3208
73.11302,148699.84,1,1,2702
37.820686,12668.392,2,6,1702
32.62155,1807.5529,2,6,3206
41.274597,28235.402,1,1,500
52.19335,58988.914,2,1,1801
61.372787,354992.84,1,6,2902
19.486933,7884.389,1,6,2500
57.340446,16618.822,2,6,600
81.6955,14297.067,2,6,1002
41.841286,41958.44,2,1,3100
84.4944,10401.363,2,6,2908
32.950745,14772.055,2,6,1001
48.61336,108429.68,1,1,3100
79.33029,34995.125,1,6,100
30.059738,44930.676,2,1,3202
33.682762,13857.439,2,1,2800
58.580303,76870.49,2,1,600
61.898327,109576.18,1,1,1004
53.824703,44313.074,1,1,3211
51.088814,23283.916,1,6,1004
33.60764,62584.246,2,1,2000
74.93948,24901.906,1,6,2500
35.130848,38048.793,2,1,801
60.28191,50678.016,2,1,2904
65.94572,1362.338,2,6,1704
72.485794,95662.19,1,6,1703
59.18415,21184.434,1,1,400
71.77504,27448.842,1,6,1702
78.88207,26870.0,1,6,1300
54.884754,44445.504,2,1,1900
60.19731,147168.14,1,1,2906
68.30902,93068.08,1,1,2903
15.21648,781.2909,2,1,3207
21.742867,5413.269,2,1,2904
68.83357,65639.15,1,2,1900
18.21096,0.018511266,1,6,2400
65.25943,12649.038,2,6,3208
65.327225,42398.95,1,6,300
23.743263,28359.951,2,1,700
58.236607,0.0,2,6,2102
23.091986,28750.252,1,1,2903
19.942019,0.01456272,1,6,2906
27.048512,3149.5347,2,1,3212
34.697887,37846.992,2,1,1400
61.658993,36562.312,2,1,2300
38.130447,61822.55,2,1,500
49.553143,156264.61,1,1,1002
47.956493,23071.842,2,1,3208
49.036453,0.0,1,6,2400
49.206215,9518.281,2,1,3209
70.2375,17819.283,1,6,100
62.039803,73465.94,1,1,2101
38.352554,100405.484,1,1,1100
57.88333,6028.2285,2,6,3001
57.656506,15229.102,2,6,1801
58.513813,24216.193,2,6,3005
57.663097,44909.426,2,1,600
71.35262,0.0,2,6,1300
17.60395,721.3674,2,1,3300
18.326736,963.1297,1,3,1003
67.57388,20233.492,1,1,2200
52.610283,14952.141,2,1,2500
68.67522,20919.473,2,6,2703
17.652657,235.73624,2,6,801
59.743004,44.080303,2,6,3203
50.263134,76255.76,1,1,1900
30.73696,88282.92,2,1,1801
75.86803,46991.39,2,6,3213
74.07638,66979.12,1,6,400
46.466957,24329.834,2,1,2800
38.29672,29832.229,1,1,2000
16.683537,0.0,1,6,900
46.198322,40180.73,2,1,200
25.907269,4222.342,1,1,1600
30.517889,3993.5662,1,6,400
40.943386,79778.86,1,1,3207
20.630526,3001.9028,2,1,3002
58.562775,15209.506,2,1,700
42.486507,84111.83,2,1,500
73.35159,93813.59,1,6,3201
49.300697,88916.64,1,1,3213
20.31414,7475.98,2,1,1704
64.46742,80051.79,2,1,1300
59.72857,0.09137107,2,6,3002
73.88461,48060.11,2,6,3006
48.55697,0.0,1,6,1500
31.703096,89222.87,1,1,2300
64.45798,18707.047,1,1,500
68.1528,20423.666,2,1,2904
54.108093,26518.22,1,1,2906
57.467842,42354.13,1,1,1600
58.274986,17055.125,1,6,2901
84.77077,41304.81,2,6,2901
59.141228,21833.617,1,1,1100
60.343697,0.07010895,2,6,802
59.505028,13468.491,2,1,2905
44.827885,203620.3,1,1,100
39.946617,0.06337835,2,6,3203
19.937931,9041.963,2,1,802
81.657135,18883.63,2,6,2906
53.476288,17823.107,2,1,200
62.92047,2572.1123,1,6,1600
51.918762,99027.54,1,1,3003
26.789835,9837.245,1,3,1600
58.189632,86746.27,1,1,2905
21.072586,3117.659,2,1,2907
26.369072,50023.332,2,1,700
64.668205,42053.266,1,6,1100
24.557049,36708.5,2,1,2800
37.197334,3071.9333,1,6,3201
65.40628,26755.441,2,1,1500
68.67601,11997.079,2,6,2200
56.80812,175214.75,1,1,1004
29.268791,24985.383,1,1,3100
94.95255,7097.7896,2,6,1100
25.87818,12737.996,1,1,2300
66.07255,15116.072,1,6,3300
24.258333,48278.55,1,6,2702
61.74621,0.0,1,6,500
62.794106,0.0,1,6,3203
69.56834,70405.22,2,1,500
85.781815,38026.336,1,6,1300
45.502743,0.00866522,2,6,1100
83.5618,26386.078,2,1,1004
61.825596,120089.17,1,1,3300
77.393166,9890.277,1,6,300
51.938847,0.0,1,6,2800
26.982965,35609.21,2,1,1500
27.340937,38131.797,1,1,3003
58.333035,0.0,2,6,200
40.1328,37433.992,2,1,3006
61.71131,17456.9,2,6,2701
62.284065,125463.31,2,1,2800
49.355072,17051.855,2,1,3205
82.097626,42317.31,1,6,1100
77.95953,64041.41,1,6,2906
66.10538,36214.652,1,1,1600
45.460285,51536.613,1,1,3207
60.68168,103866.26,1,1,2703
53.04758,0.0,1,3,900
65.803024,78472.734,1,1,1600
54.261,85245.875,1,1,700
72.86791,15189.849,2,6,3206
26.18933,38900.145,1,1,2702
44.406757,17761.68,2,6,3207
62.45278,61275.598,2,1,2907
57.54503,0.028034706,2,6,3001
24.629185,16067.469,1,1,500
99.0,17339.803,2,6,1004
76.16024,10002.606,1,6,3210
58.581715,0.05265475,1,6,2200
46.01314,77698.85,1,1,200
60.38175,10735.388,2,1,900
53.44588,18920.947,2,3,3204
51.310757,393.24728,2,6,2703
58.47887,28577.836,1,6,2400
60.404564,78881.06,1,1,400
57.869938,31992.717,1,6,1100
61.576675,70696.695,1,1,3006
89.2479,20280.207,1,6,3205
52.95682,36988.652,2,1,3206
62.345833,6844.9683,2,1,200
84.85126,40460.324,2,6,3205
51.726254,86985.52,2,1,1701
45.128704,13360.269,2,1,2101
64.24388,16173.461,2,6,2400
73.26379,34240.824,2,6,2903
64.185875,13594.683,2,6,1200
68.48846,63455.035,2,1,2400
17.245865,943.71515,1,6,100
70.83324,17448.71,2,1,3201
56.548332,13950.863,1,6,3212
28.94316,20209.848,2,1,1300
25.56956,26641.217,2,1,3005
69.80522,21173.607,1,6,3208
18.565796,7075.3154,2,1,802
53.01128,53817.96,2,1,3211
28.396706,10225.83,1,1,2500
70.88023,226307.14,1,1,802
39.749096,40073.383,2,1,801
34.045822,79898.17,2,1,2800
52.09313,30404.51,2,1,3202
78.707085,22963.879,1,6,500
23.14095,62036.234,1,6,2702
25.93173,5556.8135,1,6,3300
46.75192,53178.117,2,1,3005
75.0791,0.024249464,1,6,1900
56.850037,4841.635,2,6,3203
39.062393,66464.79,1,1,2905
43.33338,47015.508,1,1,1100
75.532776,71912.55,1,1,2200
44.312187,22344.186,2,1,1100
66.88501,51054.555,1,6,2702
62.897232,10369.0625,1,6,2500
54.05578,122144.92,1,1,2500
23.939234,14725.79,2,1,2906
38.653755,28262.965,1,1,1300
18.002232,8968.125,2,1,600
57.21479,62899.1,1,1,3004
22.979862,16800.096,1,1,3208
74.83146,48198.41,1,1,400
63.806095,39462.777,2,1,2906
65.0374,61564.848,1,6,1002
60.944447,42180.03,1,6,3006
56.119663,106437.14,2,1,2905
23.251143,59399.832,2,1,3209
67.83661,8858.113,2,6,2902
77.87555,13907.276,1,6,3207
42.573994,556.1096,2,1,900
37.998276,9606.97,1,1,2000
27.443342,0.0,2,6,1500
36.032898,43443.652,1,1,2200
26.091642,43710.13,1,1,3202
67.1239,8819.604,2,6,2500
80.81302,44045.15,1,1,2906
53.392925,44080.992,2,1,1300
76.50952,54043.24,2,6,3100
51.12885,48609.297,1,1,1802
54.3022,38989.25,1,1,1600
76.31093,23007.504,1,6,3213
58.071033,41983.58,1,1,2904
39.36034,3458.598,1,1,2703
55.751842,48590.11,1,1,400
30.97078,29324.953,1,1,1100
43.947987,27068.9,1,1,3005
59.966885,35942.934,1,1,200
51.734158,40638.098,2,1,1500
22.895918,37695.23,1,1,3003
87.85504,62376.523,1,6,2101
56.285862,17018.793,1,6,200
57.834602,21045.584,1,1,600
71.60704,44406.695,2,1,1600
62.51583,68346.71,2,1,2800
63.227417,44211.594,1,1,100
78.007515,24716.17,1,6,1500
61.565823,20761.24,1,1,400
60.89872,163139.03,1,1,3205
66.35067,18974.256,1,1,2904
46.914257,81795.04,1,1,1701
36.42718,41219.97,1,1,2904
49.186905,40211.016,1,1,100
88.21486,17463.629,2,6,3006
31.414806,26888.1,1,1,3006
61.366486,57940.48,2,6,300
35.7932,21861.852,2,6,2908
64.38377,13029.476,2,6,1100
56.243546,68595.5,1,1,1704
55.942146,122653.516,1,1,2905
58.56349,93148.35,1,6,2300
37.01671,14375.044,2,1,900
55.12094,47484.83,2,1,500
43.75166,90548.45,1,1,1400
66.55947,37555.32,2,6,2906
17.682224,1753.7444,1,1,3005
20.025259,4875.452,1,1,1300
50.357826,39848.99,2,1,200
46.22411,11692.159,2,1,3006
42.18734,3956.4785,1,6,400
51.126118,93474.23,1,1,2000
17.739166,0.0,2,6,1703
27.29766,26334.04,2,1,3208
65.003426,0.10291288,2,6,2906
21.695778,38503.223,2,1,2702
77.91249,10251.797,2,1,1704
69.037605,18263.396,2,6,1100
67.961006,50119.125,1,6,100
58.719734,77498.45,1,1,2906
24.174053,42679.242,1,1,1600
87.54196,19208.26,1,6,801
24.803358,9824.119,1,1,1200
37.676857,44770.445,1,1,2600
45.343136,70195.91,1,1,2300
26.406635,89596.43,2,1,1702
29.930115,28644.799,2,1,3201
22.874046,10008.256,2,1,300
40.86276,189038.56,1,1,3100
47.348587,79656.46,1,1,1100
18.224937,1200.6613,1,1,2000
92.83626,5904.557,1,6,2901
70.404495,986.5955,2,6,2500
87.62681,43209.12,1,6,1002
71.079445,35202.094,2,1,1600
75.36287,78942.48,1,1,600
52.762844,110299.83,1,1,1400
69.1939,20110.443,1,6,3212
51.431316,0.05817753,2,6,3208
44.40047,44878.9,1,1,2200
28.084084,28012.727,2,1,2701
18.517906,12578.732,1,6,3208
18.16631,0.0094726095,2,6,3003
47.695747,305.7506,1,3,3210
39.52569,22615.994,1,1,3202
60.97158,28541.176,1,6,3004
28.91233,90217.72,2,1,500
47.820587,38027.934,1,1,3208
55.32351,99249.914,1,1,1500
60.103226,49012.05,1,1,3201
63.27894,27789.738,1,6,1100
21.453583,15772.298,1,6,2500
25.732409,34486.555,2,1,2300
81.48965,23332.13,2,6,1600
77.926315,13321.97,2,6,600
58.950863,114967.6,1,1,1100
22.479946,2812.355,1,1,100
68.281586,36411.918,1,6,200
68.27366,32092.615,2,6,900
48.187054,953.2418,2,6,1801
51.623737,6209.741,2,6,3209
42.58993,34699.312,2,1,1500
62.39376,193336.12,1,1,2906
33.01031,0.026434941,2,6,700
60.741283,40417.824,2,1,3006
51.221497,122420.73,1,1,802
53.36695,24230.494,1,6,2905
27.438377,42853.195,2,1,802
58.788532,13343.765,2,6,3210
80.52576,44516.31,2,6,3204
21.48984,44170.164,2,1,400
68.72549,12266.247,2,6,300
46.603603,59867.316,2,1,2101
37.310402,148268.66,1,1,2902
