bldg_id,PUMA,AGEP,PINCP,SEX,ESR,price_tier
UnitedStates_030223203_488787,3210,48.161694,70275.414,1,1,5
439633864,3203,36.758236,906.3314,2,6,1
823791824,3202,76.04951,36031.688,2,6,5
717902785,3202,60.539894,25889.8,1,6,5
442984842,3212,33.022556,0.0,2,6,1
1080866862,3213,15.843281,21883.86,1,1,3
1126503477,3210,42.29039,1209.2604,1,1,1
369610779,3211,57.35418,8093.3716,1,6,2
UnitedStates_030223203_1106222,3209,29.96713,66327.945,1,1,5
1027129673,3213,8.207909,3557.188,2,6,2
1238158698,3212,34.88555,61385.27,2,1,5
225789484,3202,24.31635,61099.953,2,1,5
1070330865,3212,64.42296,40703.96,1,1,5
717902785,3202,53.094574,20448.906,2,1,5
58741756,3211,47.36528,100131.14,2,1,5
823791824,3202,48.112537,120675.49,2,1,5
UnitedStates_030223203_928290,3212,16.426632,1097.7001,2,6,2
949092195,3209,72.66765,64841.324,1,1,5
439633853,3203,27.024015,7411.012,2,1,2
733842967,3208,30.883276,39201.29,2,1,4
823791824,3202,74.75515,49053.34,1,6,5
823791824,3202,53.62513,71788.586,1,1,5
69021690,3211,71.126015,12755.6,2,6,2
587266999,3210,43.386986,7642.3354,2,6,2
1301780376,3210,66.82786,57837.35,1,6,5
733384625,3208,42.392418,30422.377,1,1,4
416205185,3213,49.51635,21635.557,1,1,3
58366895,3213,68.52875,15572.56,2,6,3
686982329,3211,45.539326,13421.457,2,1,2
1121072461,3210,78.19577,28144.666,2,1,3
58826239,3211,39.623966,9068.702,2,6,2
542464713,3208,93.39309,0.0,2,6,1
823791824,3202,60.336353,2033.2281,1,6,5
72403435,3211,40.182335,23832.646,1,1,3
UnitedStates_030223203_590040,3209,41.388298,29508.826,1,1,3
439633864,3203,0.0,1.4844252,2,6,1
UnitedStates_030223203_39752,3209,66.544464,15843.942,1,1,3
58366895,3213,58.792763,29624.975,2,6,3
638450013,3213,65.95554,170577.08,2,1,5
11685210,3208,35.38211,91152.09,2,1,5
1188318040,3210,40.733234,12289.784,1,1,3
439633867,3203,82.77186,957.7878,2,6,1
736245387,3210,39.491165,43411.39,1,1,4
439633858,3203,54.967262,27241.33,2,1,3
1285841544,3208,42.188164,41684.156,1,1,4
1027129694,3213,77.02734,8546.069,2,6,2
439633864,3203,36.795044,0.10186681,2,6,1
UnitedStates_030223203_83290,3210,33.772438,12307.085,1,1,3
823791824,3202,26.094069,20818.72,2,1,5
1193174784,3212,55.687286,1994.9998,2,6,2
UnitedStates_030223203_389369,3212,58.953392,5768.7397,2,6,2
439633864,3203,23.347614,61.07679,1,3,1
UnitedStates_030223212_122840,3213,46.38352,39315.594,1,6,4
823791824,3202,35.623306,27655.666,2,1,5
439633857,3203,79.562386,86893.484,2,6,5
823791824,3202,29.541862,1.5791508,1,6,5
900559381,3208,11.128365,39.606243,2,6,1
1213443444,3212,22.479933,8011.592,2,1,2
439633868,3203,49.18642,55.730064,1,6,1
717902788,3202,63.118378,61240.664,1,6,5
650427563,3208,65.009705,7525.8247,1,6,2
439633851,3203,38.04526,52674.176,2,1,4
225789484,3202,54.823246,28826.771,1,1,5
1119197370,3210,31.699724,659.8787,1,3,1
439633867,3203,28.633612,0.31929526,2,6,1
10011997_1,3211,74.55994,256795.06,1,6,5
439633864,3203,34.18803,0.0,2,6,1
58366895,3213,72.86306,33552.184,2,1,3
733384637,3208,14.985748,0.0,1,6,1
225789484,3202,79.81596,12504.117,2,6,5
1118801243,3210,42.486053,82390.27,2,2,5
UnitedStates_030223203_283168,3213,64.92323,11255.274,2,6,2
702559626,3208,30.19697,6887.557,2,1,2
106384974,3213,13.484421,11854.007,2,1,2
690312497,3209,48.860104,27588.594,1,1,3
1289834076,3208,49.655907,3.6951263,2,6,1
UnitedStates_030223203_1026930,3210,37.917934,55096.133,1,1,5
381562266,3213,69.2637,13160.638,2,6,2
58366895,3213,48.102745,56338.855,1,6,3
387150671,3209,27.334965,12728.014,2,6,2
795663264,3211,48.154938,92467.09,1,1,5
UnitedStates_030223203_678687,3209,51.888134,6979.9863,2,6,2
854798863,3209,62.59478,12034.588,2,6,2
1268171185,3212,67.187805,11173.867,2,6,2
894016464,3208,46.539745,34117.188,2,6,3
805151309,3211,36.052704,0.27700722,2,6,1
59123830,3211,43.04148,7497.4883,2,6,2
1233451815,3213,83.44034,58152.727,2,6,4
717902785,3202,53.836334,81004.84,1,1,5
110555613,3211,42.820496,10132.841,1,6,2
UnitedStates_030223212_94183,3213,52.57451,10905.346,1,1,2
1178695025,3213,20.519232,57.853893,2,6,1
823791824,3202,76.57895,96856.78,1,1,5
736323846,3212,60.68746,0.36610556,2,6,1
58366895,3213,26.312326,18491.014,1,1,3
58366895,3213,67.97061,13876.405,2,6,3
823791824,3202,14.459999,0.32463315,2,6,5
UnitedStates_030223212_109376,3213,30.078438,1.2793487,2,6,1
1232459674,3213,60.371784,7007.904,1,6,2
1300001309,3212,8.577171,0.56592363,2,3,1
1153603486,3209,65.464554,8371.423,1,6,2
UnitedStates_030223203_939472,3203,48.538597,62318.492,1,1,4
376921887,3212,56.743576,20041.516,1,6,3
58366895,3213,69.52731,14915.849,1,1,3
439633864,3203,68.69144,0.89465207,2,6,1
922878855,3209,19.533678,9395.049,1,3,2
649212035,3208,69.8908,10979.873,1,6,2
UnitedStates_030223212_122584,3213,62.593685,0.9576781,2,6,1
823791824,3202,63.94111,37859.664,2,6,5
623425614,3211,41.147167,1228.3087,2,1,1
UnitedStates_030223203_811148,3210,52.99892,56472.426,1,6,5
823791824,3202,45.12647,118187.555,1,1,5
105506811,3211,52.224625,109446.67,1,1,5
823791824,3202,83.86871,18513.354,2,6,5
795695279,3211,28.720762,72080.29,1,1,5
UnitedStates_030223203_318487,3209,42.972225,173617.1,2,1,5
1027115452,3213,73.10677,51843.875,1,6,4
823791824,3202,6.679291,25618.564,1,1,5
631358458,3212,14.772339,0.0,1,6,1
717902788,3202,20.772177,68764.82,1,1,5
1093268214,3208,45.34297,12701.71,2,6,2
778310141,3208,44.487617,36007.125,1,1,4
58366895,3213,74.7576,27005.906,2,6,3
UnitedStates_030223212_118942,3210,36.688416,17248.164,2,3,3
439633868,3203,21.965961,0.49585444,1,6,1
439633858,3203,31.986599,21243.957,1,1,3
58366895,3213,36.97753,26108.871,2,1,3
UnitedStates_030223203_272899,3203,32.976013,48631.184,2,6,4
823791824,3202,48.477776,34915.316,1,1,5
UnitedStates_030223203_939472,3203,65.43444,36323.855,2,1,4
1094477729,3210,32.32212,0.56920505,2,6,1
620158903,3209,16.450317,0.0,2,6,1
1171004072,3212,43.835106,33541.113,2,1,4
UnitedStates_030223203_849738,3210,16.426868,681.79724,2,6,1
439633857,3203,49.694065,74207.92,1,1,5
UnitedStates_030223203_735109,3208,14.796177,1578.2164,2,1,1
1210655330,3212,79.208565,21107.232,2,6,3
58430432,3210,18.299913,11807.0,1,1,3
8643061,3213,48.758076,15041.893,2,2,2
493918454,3208,68.92486,7558.9814,1,6,2
UnitedStates_030223203_245393,3209,23.600368,38368.73,2,1,4
1126503471,3210,35.463734,7942.712,1,1,2
854938223,3212,52.48954,69010.266,2,1,5
823791824,3202,6.800415,21019.367,2,1,5
924394297,3208,68.59421,23490.928,1,6,3
58366895,3213,29.67074,25784.535,2,1,3
823791824,3202,39.983727,39391.598,1,1,5
1050666035,3212,48.091583,0.45937306,1,6,1
897134727,3208,66.76062,6067.304,1,6,2
1073862625,3212,56.737305,0.0,2,6,1
823791824,3202,42.346485,3.4026802,2,6,5
1169671632,3208,67.43654,12192.915,2,6,2
225789484,3202,77.2086,11665.36,2,6,5
1160769467,3210,43.65753,15598.424,2,1,3
439633861,3203,49.489105,10902.111,2,1,2
1035859367,3211,36.13635,99705.195,2,1,5
1027129703,3213,63.02227,0.03656417,2,6,1
823791824,3202,33.03205,52220.66,1,1,5
60725182,3212,90.06268,11400.946,2,6,3
823791824,3202,26.069294,20559.295,2,1,5
1287292044,3208,39.990097,16793.047,1,1,3
1289851117,3208,40.158485,61689.74,2,1,5
UnitedStates_030223203_28659,3209,41.050423,75184.78,1,1,5
1035227969,3213,46.395077,15825.79,2,6,2
69134177,3211,73.45524,16486.86,2,6,3
439633855,3203,39.517704,160030.77,1,1,5
439633861,3203,68.17543,6925.8315,2,1,2
1180977181,3212,25.315735,1.6138656,2,3,1
607433190,3213,48.994644,10828.276,2,1,2
924997569,3209,33.86166,15899.952,2,1,3
327007807,3208,12.235512,0.4995223,2,6,1
380156581,3213,74.86688,8499.556,2,6,2
439633864,3203,39.399456,0.25065228,1,6,1
823791824,3202,44.898136,56535.258,2,1,5
58366895,3213,54.669792,29687.424,2,6,3
UnitedStates_030223203_628583,3212,78.3559,14531.041,2,6,2
UnitedStates_030223203_694309,3211,46.937862,12096.706,1,1,2
381562345,3213,49.16959,94128.695,1,1,4
58366895,3213,51.941277,15077.153,2,1,3
UnitedStates_030223212_36964,3211,33.600224,0.0,1,6,1
UnitedStates_030223203_44945,3212,48.172016,19386.8,2,6,3
439633858,3203,40.409695,16588.988,1,3,3
823791824,3202,50.2583,168161.2,1,1,5
965070595,3211,30.238813,15642.3125,1,6,3
11523397,3211,71.522545,36426.54,1,1,4
823791824,3202,57.3805,70985.17,1,1,5
731928668,3208,15.437408,597.4023,1,1,1
106384959,3213,62.843304,7505.91,1,1,2
1053479221,3210,63.065163,6219.64,1,6,2
113041552,3210,78.504974,8395.819,2,6,2
439633853,3203,32.353065,5647.374,1,1,2
689155454,3209,74.36623,10775.929,2,6,2
UnitedStates_030223203_373199,3209,77.240906,15941.237,2,6,2
225789484,3202,71.19394,61924.754,2,6,5
1080866859,3213,48.297638,15828.733,2,1,3
896046735,3210,30.23156,7101.135,2,1,2
823791824,3202,53.366783,29649.818,1,1,5
69021564,3211,32.188606,7756.4688,2,6,2
1029004223,3213,66.711296,11716.372,2,6,2
