brand,bucketed_dwell_times,city,close_date,date_range_end,date_range_start,device_type,distance_from_home,footprint_id,id_store,is_distributor,iso_country_code,latitude,location_name,longitude,median_dwell,msa_code,naics_code,open_date,persistent_id,persistent_id_store,poi_cbg,postal_code,region,related_same_day_brand,related_same_week_brand,street_address,sub_category,ticker,top_category,visit_counts,visitor_country_of_origin,visitor_counts,visitor_daytime_cbgs,visitor_home_aggregation,visitor_home_cbgs,visits_by_day,visits_by_each_hour
All Other Miscellaneous Store Retailers (except Tobacco Stores),"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",EAGLE NEST,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,7349091229368270441,12284703,False,US,36.554189,EAGLE NEST MINI MART,-105.261116,None,None,453998,1970-01-01,A1_NAICS-453998,12284703,350079507003,87718,NM,None,"{""Convenience Stores"":26,""Sonic"":26,""Universities and Colleges"":26,""Western Union"":26}",275 EAST THERMA DRIVE,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,NAICS-453998,Other Miscellaneous Store Retailers ,26,None,26,None,None,None,"[26,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Plumbing, Heating, and Air-Conditioning Contractors","{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Denver,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26}",None,3008773476101001503,11242771,False,US,39.6871912,"Plumbing, Heating, and Air-Conditioning Contractors",-105.0327672,None,19740,238220,1970-01-01,A1_NAICS-238220,11242771,080310046022,80219,CO,"{""7 Eleven"":26,""At The Beach"":26,""AutoZone Repair"":26,""Buzztime"":26,""Cooper Tire & Rubber"":26,""Dunlop Tires"":26,""Inland"":26,""McDonald's"":26,""Midas"":26,""Starwood Retail Partners"":26,""Texas Roadhouse"":26,""Travelers"":26,""Western Union"":26}","{""7 Eleven"":26,""AAA/CAA Auto Repair - Authorized Providers"":26,""Advan"":26,""Armstrong Flooring"":26,""At The Beach"":26,""AutoZone Repair"":26,""Buzztime"":26,""Cabinets To Go"":26,""Cannabis Dispensaries"":26,""CareNow Urgent Care"":26,""Central Parking"":26,""Chipotle"":26,""Coffee Shops"":26,""Cold Stone Creamery"":26,""Cooper Tire & Rubber"":26,""Costco"":26,""Dunlop Tires"":26,""FMP Partners Network"":26,""Freshpet"":26}",1611 S Knox Ct,"Plumbing, Heating, and Air-Conditioning Contractors ",NAICS-238220,Building Equipment Contractors,26,None,26,None,None,None,"[0,0,0,0,26,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Motor Vehicle Towing,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Hamilton,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26}",None,8933106681780567198,10262461,False,US,39.4011002,Motor Vehicle Towing,-84.5902329,None,17140,488410,1970-01-01,A1_NAICS-488410,10262461,390170013002,45013,OH,None,"{""Cardtronics"":26,""Freshpet"":26,""Gas Stations"":26,""Kroger"":26,""Mall"":26,""Marathon Petroleum"":26,""Shell Oil"":26}",135 E Fairway Dr,Motor Vehicle Towing,NAICS-488410,Support Activities for Road Transportation,26,None,26,None,None,None,"[0,0,0,0,0,0,26]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0]"
Coffee Shops,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":26,"">240"":0}",Lacombe,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26}",None,8385662057993402672,12232807,False,US,30.3637205,Folgers Coffee Co.,-89.903461,178.0,35380,722515,1970-01-01,A1_COFFEE-A,12232807,221030407123,70445-3464,LA,"{""Advan"":26,""Freshpet"":26,""Moneygram"":26,""Rapid Urgent Care"":26,""Walmart"":26}","{""Advan"":26,""Dollar Tree"":26,""Dunlop Tires"":26,""Freshpet"":26,""Gas Stations"":26,""ICBA"":26,""Moneygram"":26,""Rapid Urgent Care"":26,""Ria Money Transfer"":26,""Walgreens"":26,""Walmart"":26,""Western Union"":26,""Winn Dixie"":26}",64490 Highway 434,Snack and Nonalcoholic Beverage Bars ,COFFEE-A,Restaurants and Other Eating Places,52,None,26,None,None,None,"[0,0,0,26,0,26,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Full-Service Restaurants,"{""<5"":52, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Hammond,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,1170463081203148747,8850761,False,US,30.4662304,Full-Service Restaurants,-90.508049,None,25220,722511,1970-01-01,A1_NAICS-722511,8850761,221059541052,70403,LA,"{""Books-a-Million"":26,""Mall"":26,""Truck Stops"":26}","{""Books-a-Million"":26,""Chase"":26,""Chick-fil-A"":26,""Convenience Stores"":26,""Dunlop Tires"":26,""Freshpet"":26,""Hampton"":26,""Mall"":26,""McDonald's"":26,""Starbucks"":26,""Truck Stops"":26,""Walmart"":26,""Western Union"":26}",42296 Forest Ln,Full-Service Restaurants ,NAICS-722511,Restaurants and Other Eating Places,52,None,26,None,None,None,"[0,0,0,26,0,26,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Gift, Novelty, and Souvenir Stores","{""<5"":0, ""5-20"":0, ""21-60"":26,""61-240"":0,"">240"":0}",Jonesboro,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26}",None,9023883976363593599,7737538,False,US,35.8392792,"Gift, Novelty, and Souvenir Stores",-90.706871,31.0,27860,453220,1970-01-01,A1_NAICS-453220,7737538,050310001013,72401,AR,"{""United Way"":26}","{""Cardtronics"":26,""Convenience Stores"":26,""Dollar Tree"":26,""Dunlop Tires"":26,""ExxonMobil"":26,""Mall"":26,""Moneygram"":26,""United Way"":26,""Walmart"":26}",310 W Monroe Ave,"Gift, Novelty, and Souvenir Stores ",NAICS-453220,"Office Supplies, Stationery, and Gift Stores ",26,None,26,None,None,None,"[0,0,0,0,0,0,26]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0]"
UNTUCKit,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",San Diego,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,3579759916155722354,5784444,False,US,32.871376,UNTUCKit LLC,-117.212905,None,41740,448110,1970-01-01,A1_UNTI-A,5784444,060730083762,92122,CA,"{""24 Hour Fitness"":26,""Aesop"":26,""Allen Edmonds"":26,""Apple"":26,""Boost Mobile"":26,""Convenience Stores"":26,""Honey Birdette"":26,""Jo Malone London"":26,""Keds"":26,""LAZ Parking"":26,""La Colombe"":26,""Mall"":26,""Moneygram"":26,""Nordstrom"":26,""O'Neil Clothing"":26,""Outdoor Shops"":26,""Regency Centers"":26,""Roche Bobois"":26,""Sebago"":26}","{""24 Hour Fitness"":26,""Aesop"":26,""Allen Edmonds"":26,""Apple"":26,""Best Western"":26,""Boost Mobile"":26,""Convenience Stores"":26,""Honey Birdette"":26,""Janie and Jack"":26,""Jo Malone London"":26,""Keds"":26,""LAZ Parking"":26,""La Colombe"":26,""Mall"":26,""Moneygram"":26,""Nordstrom"":26,""O'Neil Clothing"":26,""Outdoor Shops"":26,""Regency Centers"":26}",4303 La Jolla Village Drive,Men's Clothing Stores ,UNTI-A,Clothing Stores ,26,None,26,None,None,None,"[0,0,0,26,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
AERA Engine Builders Association,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Stevens Point,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,8988378045952268147,11595248,False,US,44.524196,AERA Engine Builders Association,-89.5476205,None,44620,336310,1970-01-01,A1_AERAE-A,11595248,550979604004,54481,WI,"{""Advance Auto Parts"":26,""Wineries"":26}","{""Advance Auto Parts"":26,""Convenience Stores"":26,""Event Venues"":26,""Gas Stations"":26,""Hardee's"":26,""ICBA"":26,""Kwik Trip"":26,""Universities and Colleges"":26,""Wineries"":26}",88 Sunset Blvd,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,AERAE-A,Motor Vehicle Parts Manufacturing,26,None,26,None,None,None,"[0,0,0,0,0,0,26]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0]"
Painting and Wall Covering Contractors,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Berkeley,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,7265862755067662041,10928162,False,US,37.8552304,Painting and Wall Covering Contractors,-122.2505847,None,41860,238320,1970-01-01,A1_NAICS-238320,10928162,060014238003,94705,CA,"{""Outdoor Shops"":26,""Saucony"":26,""Wineries"":26}","{""Chiropractic Offices"":26,""Coffee Shops"":26,""Freshpet"":26,""GSA"":26,""Ike's Love & Sandwiches"":26,""Outdoor Shops"":26,""Philz Coffee"":26,""Ports"":26,""Safeway"":26,""Saucony"":26,""Starbucks"":26,""U.S. Ports"":26,""Universities and Colleges"":26,""Western Union"":26,""Wineries"":26}",2751 Prince St,Painting and Wall Covering Contractors,NAICS-238320,Building Finishing Contractors,26,None,26,None,None,None,"[0,0,0,0,0,26,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Automotive Parts and Accessories Stores,"{""<5"":78, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Spring Hill,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26}",None,9035123002419657820,7947754,False,US,28.5142994,Automotive Parts and Accessories Stores,-82.5657806,None,45300,441310,1970-01-01,A1_NAICS-441310,7947754,120530412011,34606,FL,"{""7 Eleven"":26,""Boost Mobile"":26,""Cardtronics"":26,""Dollar General"":26,""Dunlop Tires"":26,""Freshpet"":26,""Golf Courses"":26,""Mall"":26,""McDonald's"":26,""Moneygram"":26,""Outback Steakhouse"":26,""Physical Therapy Providers"":26,""Sembler"":26,""Speedway"":26,""Western Union"":26}","{""7 Eleven"":26,""AAA/CAA Auto Repair - Authorized Providers"":26,""Blue Buffalo"":26,""Boost Mobile"":26,""Brooklyn Water Bagels"":26,""Cardtronics"":26,""Chevrolet"":26,""Dollar General"":26,""Dunlop Tires"":26,""Fast Track Urgent Care"":26,""Freshpet"":26,""Garmin"":26,""Golf Courses"":26,""Honda"":26,""Mall"":26,""Mattress Firm"":26,""McDonald's"":26,""Moneygram"":26,""Outback Steakhouse"":26}",6008 Freeport Dr,Automotive Parts and Accessories Stores ,NAICS-441310,"Automotive Parts, Accessories, and Tire Stores ",78,None,26,None,None,None,"[0,25,0,26,0,0,26]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0]"
