statefp,puma,puma_uid,age_bin_idx,sex_bin_idx,income_bin_idx,schl_bin_idx,esr_bin_idx,prob_joint,count_weighted
26,100,2600100,0,0,0,0,0,0.005260470163588145,905.1533196381214
26,100,2600100,0,0,0,0,1,0.000420721551969267,72.39229528269587
26,100,2600100,0,0,0,0,2,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,0,0,3,0.09285179575564492,15976.729940286556
26,100,2600100,0,0,0,1,0,0.009270381783046953,1595.12678226354
26,100,2600100,0,0,0,1,1,0.0005309796138646611,91.36406921885064
26,100,2600100,0,0,0,1,2,6.0932086836928326e-05,10.484401385769747
26,100,2600100,0,0,0,1,3,0.005997458261520517,1031.9646506850509
26,100,2600100,0,0,0,2,0,0.01656482303581066,2850.259405302833
26,100,2600100,0,0,0,2,1,0.0014942868914770517,257.11746255578186
26,100,2600100,0,0,0,2,2,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,0,2,3,0.017243780574850716,2967.085592172838
26,100,2600100,0,0,0,3,0,0.002213865821741729,380.9332503496341
26,100,2600100,0,0,0,3,1,0.00032206960185233546,55.417550181925805
26,100,2600100,0,0,0,3,2,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,0,3,3,0.0015465143944801332,266.1040923150131
26,100,2600100,0,0,1,0,0,0.0009487996378893125,163.25710729270034
26,100,2600100,0,0,1,0,1,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,1,0,2,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,1,0,3,0.00016538709284309117,28.45766090423217
26,100,2600100,0,0,1,1,0,0.005550622958049709,955.0790405227392
26,100,2600100,0,0,1,1,1,0.00013056875750770355,22.466574398078027
26,100,2600100,0,0,1,1,2,0.0001595840369538599,27.459146486539808
26,100,2600100,0,0,1,1,3,6.0932086836928326e-05,10.484401385769747
26,100,2600100,0,0,1,2,0,0.003008884478566413,517.7297255734869
26,100,2600100,0,0,1,2,1,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,1,2,2,0.00010735653395077848,18.4725167273086
26,100,2600100,0,0,1,2,3,0.0011809218734585632,203.1976840003946
26,100,2600100,0,0,1,3,0,0.0010822699233416317,186.22293889962455
26,100,2600100,0,0,1,3,1,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,1,3,2,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,1,3,3,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,0,0,0.00011315958984000975,19.471031145000957
26,100,2600100,0,0,2,0,1,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,0,2,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,0,3,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,1,0,0.0005890101727569738,101.34921339577421
26,100,2600100,0,0,2,1,1,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,1,2,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,1,3,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,2,0,0.0005657979492000488,97.35515572500479
26,100,2600100,0,0,2,2,1,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,2,2,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,2,3,0.00013056875750770355,22.466574398078027
26,100,2600100,0,0,2,3,0,0.0007050712905415992,121.31950174962134
26,100,2600100,0,0,2,3,1,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,3,2,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,2,3,3,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,3,0,0,5.5129030947697056e-05,9.48588696807739
26,100,2600100,0,0,3,0,1,2.901527944615635e-06,0.4992572088461784
26,100,2600100,0,0,3,0,2,2.901527944615635e-06,0.4992572088461784
