person_id,puma,AGEP,PINCP,SEX,ESR,bldg_id,price_tier
0,3210,21.973696,4395.4375,1,1,1050881766,2
1,3203,33.365,20736.07,2,1,439633858,3
2,3202,74.91089,16840.94,2,6,225789484,5
3,3202,66.39943,48871.137,1,1,717902785,5
4,3212,22.368265,0.0,1,6,440877197,1
5,3213,24.309978,0.0,1,6,1161586666,1
6,3210,73.33952,36193.04,1,6,UnitedStates_030223203_988759,5
7,3211,63.057983,0.0,2,6,865789435,1
8,3209,57.692947,1006.51355,1,6,1159047464,1
9,3213,55.969017,0.0,1,6,UnitedStates_030223212_38678,1
10,3212,52.398746,3144.6948,2,6,5588244,2
11,3202,56.650536,75667.664,1,1,225789484,5
12,3212,86.44269,6951.079,2,6,546370101,2
13,3202,34.7365,9224.63,1,1,717902785,5
14,3211,46.820007,42491.61,1,1,1124066818,4
15,3202,29.672495,9294.194,2,6,823791824,5
16,3212,48.766987,115723.09,1,1,854915781,5
17,3209,41.622375,26453.885,2,6,UnitedStates_030223203_117302,4
18,3203,61.039864,66343.32,1,6,439633855,5
19,3208,54.81954,50031.348,1,6,1289840748,5
20,3202,66.706215,5675.638,1,6,717902785,5
21,3202,25.431587,35464.055,1,1,225789484,5
22,3211,20.380898,19076.248,2,6,881692225,3
23,3210,34.098454,6367.2256,1,1,UnitedStates_030223203_783545,2
24,3210,35.9603,32195.22,1,1,1018300619,4
25,3208,29.493704,127011.39,1,1,762350375,5
26,3213,15.491459,9807.314,2,6,106384974,2
27,3213,54.90764,21151.324,2,1,58366895,3
28,3211,40.551506,17632.326,2,1,58431587,3
29,3210,48.673817,5958.4917,2,6,UnitedStates_030223203_294697,2
30,3211,52.932888,134963.5,2,1,69021532,5
31,3208,19.706757,18613.49,2,1,910541411,3
32,3202,30.033585,2683.4707,1,6,823791824,5
33,3211,61.464737,17110.893,2,6,69000360,3
34,3209,19.158619,0.0,2,6,971405714,1
35,3203,24.641666,6630.601,2,1,439633853,2
36,3209,37.952568,1973.3125,2,6,689200168,1
37,3213,62.53485,9790.557,2,6,8643061,2
38,3213,68.517136,188458.6,1,1,UnitedStates_030223212_21194,5
39,3208,41.515247,0.16935039,2,6,778592245,1
40,3210,62.71503,7571.262,1,1,903123317,2
41,3203,25.695704,8214.726,2,1,439633853,2
42,3210,43.747013,28876.686,1,1,UnitedStates_030223203_716664,4
43,3203,61.99344,134251.03,1,1,439633857,5
44,3208,43.58665,23837.148,2,1,894016454,4
45,3213,30.137596,54704.652,2,1,1201551495,4
46,3203,12.714836,0.05790106,1,6,439633868,1
47,3210,76.65896,51961.336,1,1,1163311174,5
48,3202,48.462456,15995.668,2,1,823791824,5
49,3212,61.070812,0.0,1,6,348815878,1
50,3212,65.62413,11208.204,2,6,UnitedStates_030223203_472540,3
51,3203,52.2946,24427.928,1,1,439633858,3
52,3213,61.97632,11190.548,1,6,UnitedStates_030223203_105239,2
53,3202,67.63693,38171.387,1,6,823791824,5
54,3203,49.999336,34818.52,2,1,439633851,4
55,3202,99.0,38776.69,2,6,1020931924,5
56,3208,46.80854,4307.1143,2,6,731931234,2
57,3212,47.743195,0.38895845,1,6,771377390,1
58,3203,75.75168,18268.344,2,6,439633858,3
59,3202,53.285954,93012.62,2,1,225789484,5
60,3208,40.2753,110752.55,1,1,876094951,5
61,3203,57.61575,17492.984,2,1,439633858,3
62,3202,27.321274,7098.433,2,1,823791824,5
63,3210,46.29643,94613.34,1,1,UnitedStates_030223203_1061103,5
64,3203,32.622154,143723.19,1,1,439633849,5
65,3211,41.540646,69339.984,1,1,105506811,5
66,3203,71.310265,19392.256,1,6,439633858,3
67,3213,48.563324,0.0,2,6,1027129701,1
68,3208,25.361826,34616.547,2,1,890992827,4
69,3202,85.687836,78241.98,2,6,823791824,5
70,3210,23.110027,16240.096,2,3,1126524089,3
71,3213,31.096935,97264.16,1,1,1027115453,5
72,3208,55.360416,34727.785,2,6,904274732,4
73,3213,55.406223,114709.68,1,3,949207849,5
74,3209,77.63357,13516.039,2,6,UnitedStates_030223203_746118,3
75,3208,29.674244,63188.06,1,1,1000620533,5
76,3210,53.66811,8434.619,2,6,1126503471,2
77,3213,57.26703,1018.77,2,6,1027129701,1
78,3213,36.90982,0.0,1,3,1027129701,1
79,3209,44.18696,13914.892,1,1,1154806733,3
80,3211,42.884445,9995.798,2,3,396275719,2
81,3209,37.618507,48268.28,2,1,UnitedStates_030223203_695267,5
82,3209,76.365036,18133.398,1,1,UnitedStates_030223203_1083851,3
83,3212,78.74295,32251.027,1,6,1287363032,4
84,3208,20.517609,5602.0767,1,6,1186547076,2
85,3211,22.41167,13989.195,1,3,UnitedStates_030223212_24352,3
86,3211,33.903397,102297.5,1,1,69000340,5
87,3213,38.999935,14126.286,2,1,UnitedStates_030223212_99675,2
88,3202,18.464958,14320.172,1,1,823791824,5
89,3211,71.77248,4977.0737,2,6,114187974,2
90,3213,29.549252,12033.44,2,1,1132557934,2
91,3213,36.72867,17081.088,1,6,58366895,3
92,3202,55.636124,16934.291,1,1,225789484,5
93,3212,58.05907,37662.926,1,1,370271778,5
94,3213,62.53342,0.0,2,6,1179487949,1
95,3213,53.922573,9961.583,1,6,1035227969,2
96,3202,43.334732,24060.938,2,1,823791824,5
97,3213,78.36029,107972.34,2,1,1027115453,5
98,3213,75.51752,16886.39,2,6,58366895,3
99,3212,32.64687,8193.403,2,6,UnitedStates_030223203_83594,3
100,3209,65.071976,8940.002,2,6,1153622369,2
101,3203,16.557674,0.40097004,2,6,439633868,1
102,3212,66.111046,105064.055,2,1,747186497,5
103,3213,37.861256,30665.963,1,1,58366895,3
104,3203,32.094822,45007.656,2,1,UnitedStates_030223203_939472,4
105,3209,46.193455,0.0,2,6,691740124,1
106,3208,77.36168,7988.624,2,6,733764609,2
107,3213,22.350096,21465.541,1,1,58366895,3
108,3202,43.71382,34878.707,2,1,823791824,5
109,3211,35.369995,13008.752,2,1,58826239,2
110,3210,18.616137,0.14894213,2,6,313128799,1
111,3202,64.465775,44917.863,1,1,823791824,5
112,3211,37.86089,21659.98,1,1,71187442,3
113,3202,40.41265,3.9174104,1,6,823791824,5
114,3211,77.29903,0.0,1,6,8033579,1
115,3209,67.16443,2324.3394,2,6,UnitedStates_030223203_617598,1
116,3213,69.178635,23702.197,1,6,58366895,3
117,3202,47.568302,171730.6,2,1,823791824,5
118,3212,84.0879,5225.054,1,6,UnitedStates_030223203_217240,2
119,3202,45.89111,20544.457,2,1,823791824,5
120,3208,77.460144,0.1931395,1,6,897798561,1
