puma_uid,statefp,puma5,stage1_coarse_tvd_seed0,pipeline_tvd_seed0,oracle_tvd_seed0,stage1_coarse_tvd_seed1,pipeline_tvd_seed1,oracle_tvd_seed1,stage1_coarse_tvd_seed2,pipeline_tvd_seed2,oracle_tvd_seed2,one_shot_tvd_seed0,one_shot_tvd_seed1,one_shot_tvd_seed2,stage1_coarse_tvd_mean,pipeline_tvd_mean,oracle_tvd_mean,one_shot_tvd_mean,pipeline_minus_oracle
2600100,26,00100,0.04620090719964691,0.10104053036179837,0.08419412739089185,0.0453521608192432,0.10652917696622717,0.09206161500035291,0.04888649153550186,0.10350333248120253,0.08760143135159262,0.12823004125331677,0.13029638792697848,0.12797081865225896,0.046813186518130656,0.10369101326974269,0.08795239124761245,0.12883241594418474,0.015738622022130236
2600200,26,00200,0.04061784111543772,0.1045431168030231,0.09334628109403828,0.03966422688947651,0.10422332747575541,0.09405416987801325,0.04206910342978264,0.10454845898484141,0.09188850184542731,0.131461472976498,0.13004613400266668,0.13390592577195354,0.04078372381156562,0.10443830108787329,0.09309631760582628,0.1318045109170394,0.011341983482047013
2600300,26,00300,0.03627645874101171,0.10452585939501768,0.0934451522072603,0.03517046821753564,0.10525876875136043,0.09791265222224219,0.03748933573763852,0.10613503322285141,0.09206075705201267,0.13123355229386374,0.13500609124117371,0.13252029220412442,0.036312087565395286,0.10530655378974317,0.0944728538271717,0.13291997857972063,0.01083369996257147
2600400,26,00400,0.045141472619139505,0.09365145435476835,0.07810667349342934,0.04547007201653455,0.09217522262926975,0.0780280028497691,0.04660205847340673,0.09414786481227552,0.07871467480828762,0.12342865756847976,0.12136399979952953,0.1254550453158832,0.04573786770302693,0.09332484726543788,0.07828311705049536,0.12341590089463084,0.015041730214942525
2600500,26,00500,0.04590853228128756,0.10079097118604827,0.08762719232156109,0.04602919050173334,0.1004193198495967,0.0888607962731669,0.044049293183383346,0.10221906502474791,0.08937713054112079,0.12840192351190163,0.12970136456494774,0.12163236256188614,0.04532900532213475,0.10114311868679764,0.08862170637861626,0.12657855021291184,0.012521412308181379
2600600,26,00600,0.042800660344246205,0.09952519558098157,0.08914487874037103,0.041763142044188614,0.09397212285368643,0.08373452111599453,0.04330884711262707,0.10091081786582747,0.08885120832309513,0.12130742297571066,0.12273665270158275,0.12631842754147155,0.042624216500353966,0.09813604543349848,0.08724353605982023,0.12345416773958832,0.01089250937367825
2600700,26,00700,0.050260058119373854,0.11371111303971929,0.10032252380765613,0.04698496769357646,0.11383551426528596,0.10321361848174007,0.049643219176457795,0.1103763299858631,0.10088917771241113,0.1333294238203462,0.13643924445190903,0.140568396205336,0.048962748329802706,0.11264098576362279,0.10147510666726911,0.1367790214925304,0.011165879096353679
2600801,26,00801,0.07196180681988792,0.12075625972182286,0.1001231947779207,0.07242033062387229,0.12349568774136266,0.09983020484789111,0.07127479862602479,0.12497866034371014,0.10449331604680859,0.15368190334178583,0.1546180067617399,0.15362060322453042,0.071885645356595,0.12307686926896522,0.10148223855754013,0.1539735044426854,0.02159463071142509
2600802,26,00802,0.06716668459429545,0.12170994798693677,0.09806903056894589,0.06810238533400868,0.12030439207333962,0.09586043247944112,0.07240703809163487,0.1254295768139605,0.10034116065119193,0.15868709403218986,0.15736918473004868,0.15972894791330547,0.06922536933997966,0.12248130562474563,0.09809020789985966,0.15859507555851468,0.02439109772488597
2600900,26,00900,0.054854732195044574,0.11987036348636318,0.1062681430520129,0.053033378063518856,0.11913067824029826,0.10472265375021121,0.0529507107201241,0.1213116928303569,0.10228915160414886,0.143613235555242,0.14639167255681268,0.14679073888664668,0.05361294032622917,0.12010424485233943,0.10442664946879099,0.14559854899956712,0.015677595383548446
