statefp,puma,puma_uid,age_bin_idx,income_bin_idx,count_weighted,prob_joint
06,101,0600101,0,0,2345.0,0.04307890144208689
06,101,0600101,0,1,211.0,0.00387618260310462
06,101,0600101,0,2,242.00000000000003,0.004445669146688712
06,101,0600101,0,3,223.99999999999997,0.004114999540736658
06,101,0600101,0,4,153.0,0.00281069165059245
06,101,0600101,0,5,220.99999999999997,0.004059887939744649
06,101,0600101,0,6,151.0,0.002773950583264444
06,101,0600101,0,7,84.0,0.001543124827776247
06,101,0600101,0,8,226.00000000000003,0.004151740608064665
06,101,0600101,0,9,249.00000000000003,0.004574262882336732
06,101,0600101,0,10,169.0,0.003104620189216497
06,101,0600101,0,11,451.0,0.008285110682465326
06,101,0600101,0,12,146.0,0.0026820979149444293
06,101,0600101,0,13,190.0,0.0034904013961605585
06,101,0600101,0,14,131.0,0.0024065399099843852
06,101,0600101,0,15,149.0,0.002737209515936438
06,101,0600101,1,0,951.0,0.017470377514466794
06,101,0600101,1,1,270.0,0.004960044089280794
06,101,0600101,1,2,544.0,0.0099935703132176
06,101,0600101,1,3,185.0,0.003398548727840544
06,101,0600101,1,4,277.0,0.0050886378249288145
06,101,0600101,1,5,678.0,0.012455221824193993
06,101,0600101,1,6,374.0,0.0068705795903370994
06,101,0600101,1,7,484.00000000000006,0.008891338293377423
06,101,0600101,1,8,604.0,0.011095802333057776
06,101,0600101,1,9,1202.0,0.022081381464131532
06,101,0600101,1,10,1070.0,0.019656471020483145
06,101,0600101,1,11,1675.0,0.030770643887204924
06,101,0600101,1,12,1544.0,0.02836410397722054
06,101,0600101,1,13,1624.0,0.029833746670340774
06,101,0600101,1,14,2007.0,0.0368696610636539
06,101,0600101,1,15,4889.0,0.08981353908331037
06,101,0600101,2,0,635.0,0.011665288876641866
06,101,0600101,2,1,363.0,0.006668503720033067
06,101,0600101,2,2,273.0,0.005015155690272803
06,101,0600101,2,3,270.0,0.004960044089280794
06,101,0600101,2,4,209.0,0.0038394415357766143
06,101,0600101,2,5,793.0,0.01456783319555433
06,101,0600101,2,6,499.0,0.009166896298337467
06,101,0600101,2,7,348.0,0.006392945715073023
06,101,0600101,2,8,302.0,0.005547901166528888
06,101,0600101,2,9,451.0,0.008285110682465326
06,101,0600101,2,10,762.0,0.01399834665197024
06,101,0600101,2,11,1428.0,0.026233122072196198
06,101,0600101,2,12,1170.0,0.02149352438688344
06,101,0600101,2,13,780.0,0.014329016257922293
06,101,0600101,2,14,2089.0,0.03837604482410214
06,101,0600101,2,15,5546.0,0.1018829797005603
06,101,0600101,3,0,579.0,0.010636538991457702
06,101,0600101,3,1,891.9999999999999,0.01638651602829062
06,101,0600101,3,2,602.0,0.01105906126572977
06,101,0600101,3,3,751.0,0.013796270781666207
06,101,0600101,3,4,588.0,0.010801873794433729
06,101,0600101,3,5,389.0,0.0071461375952971435
06,101,0600101,3,6,387.0,0.007109396527969138
06,101,0600101,3,7,267.0,0.004904932488288785
06,101,0600101,3,8,311.0,0.005713235969504914
06,101,0600101,3,9,879.9999999999999,0.016166069624322585
06,101,0600101,3,10,1225.0,0.0225039037384036
06,101,0600101,3,11,1598.0,0.029356112795076696
06,101,0600101,3,12,1186.0,0.021787452925507485
06,101,0600101,3,13,835.0,0.015339395609442454
06,101,0600101,3,14,1357.0,0.02492881418205199
06,101,0600101,3,15,2950.0,0.054193074308808674
06,111,0600111,0,0,127.0,0.002605876559422193
06,111,0600111,0,1,77.0,0.001579940906106369
06,111,0600111,0,2,140.0,0.0028726198292843073
06,111,0600111,0,3,0.0,0.0
06,111,0600111,0,4,63.99999999999999,0.0013131976362442547
06,111,0600111,0,5,95.0,0.0019492777413000657
06,111,0600111,0,6,216.0,0.00443204202232436
06,111,0600111,0,7,0.0,0.0
06,111,0600111,0,8,0.0,0.0
06,111,0600111,0,9,25.000000000000004,0.0005129678266579121
06,111,0600111,0,10,131.0,0.002687951411687459
06,111,0600111,0,11,50.00000000000001,0.0010259356533158241
06,111,0600111,0,12,58.0,0.0011900853578463559
06,111,0600111,0,13,102.00000000000001,0.002092908732764281
06,111,0600111,0,14,107.0,0.0021955022980958633
06,111,0600111,0,15,57.0,0.0011695666447800394
06,111,0600111,1,0,1415.0,0.02903397898883782
06,111,0600111,1,1,632.0,0.012967826657912017
06,111,0600111,1,2,538.0,0.011039067629678266
06,111,0600111,1,3,341.0,0.00699688115561392
06,111,0600111,1,4,457.0,0.009377051871306632
06,111,0600111,1,5,220.0,0.004514116874589626
06,111,0600111,1,6,810.9999999999999,0.016640676296782664
06,111,0600111,1,7,380.0,0.007797110965200263
06,111,0600111,1,8,462.0,0.009479645436638214
06,111,0600111,1,9,989.0,0.020293007222587
06,111,0600111,1,10,2121.0,0.043520190413657255
06,111,0600111,1,11,2320.0,0.04760341431385424
06,111,0600111,1,12,2091.0,0.04290462902166776
06,111,0600111,1,13,2255.0,0.046269697964543666
06,111,0600111,1,14,3314.0000000000005,0.06799901510177282
06,111,0600111,1,15,5660.0,0.11613591595535128
06,111,0600111,2,0,1226.0,0.025155942219304006
06,111,0600111,2,1,607.0,0.012454858831254103
06,111,0600111,2,2,417.99999999999994,0.008576822061720288
06,111,0600111,2,3,390.0,0.008002298095863428
06,111,0600111,2,4,580.0,0.01190085357846356
06,111,0600111,2,5,451.99999999999994,0.009274458305975048
06,111,0600111,2,6,400.00000000000006,0.008207485226526593
06,111,0600111,2,7,500.0,0.01025935653315824
06,111,0600111,2,8,656.0,0.013460275771503612
06,111,0600111,2,9,736.0,0.015101772816808929
06,111,0600111,2,10,914.0,0.018754103742613264
06,111,0600111,2,11,1408.0,0.028890347997373604
06,111,0600111,2,12,1306.0,0.026797439264609323
06,111,0600111,2,13,688.0,0.014116874589625739
06,111,0600111,2,14,1483.0,0.03042925147734734
06,111,0600111,2,15,1989.0,0.04081172028890348
06,111,0600111,3,0,1344.0,0.02757715036112935
06,111,0600111,3,1,1787.0,0.03666694024950755
06,111,0600111,3,2,641.0,0.013152495075508865
06,111,0600111,3,3,531.0,0.01089543663821405
06,111,0600111,3,4,664.0,0.013624425476034143
06,111,0600111,3,5,341.0,0.00699688115561392
06,111,0600111,3,6,360.0,0.007386736703873933
06,111,0600111,3,7,97.99999999999999,0.002010833880499015
06,111,0600111,3,8,195.0,0.004001149047931714
06,111,0600111,3,9,819.9999999999999,0.016825344714379513
06,111,0600111,3,10,644.0,0.013214051214707813
06,111,0600111,3,11,416.00000000000006,0.008535784635587657
06,111,0600111,3,12,550.0,0.011285292186474064
06,111,0600111,3,13,525.0,0.010772324359816152
06,111,0600111,3,14,285.0,0.005847833223900197
06,111,0600111,3,15,527.0,0.010813361785948786
06,112,0600112,0,0,309.0,0.006396985756873137
06,112,0600112,0,1,0.0,0.0
06,112,0600112,0,2,0.0,0.0
06,112,0600112,0,3,0.0,0.0
06,112,0600112,0,4,0.0,0.0
06,112,0600112,0,5,15.0,0.0003105332891685989
06,112,0600112,0,6,0.0,0.0
06,112,0600112,0,7,40.0,0.0008280887711162637
06,112,0600112,0,8,0.0,0.0
06,112,0600112,0,9,17.0,0.00035193772772441206
06,112,0600112,0,10,43.0,0.0008901954289499835
06,112,0600112,0,11,77.0,0.0015940708843988076
06,112,0600112,0,12,24.000000000000004,0.0004968532626697582
06,112,0600112,0,13,61.00000000000001,0.0012628353759523022
06,112,0600112,0,14,43.0,0.0008901954289499835
06,112,0600112,0,15,24.000000000000004,0.0004968532626697582
06,112,0600112,1,0,319.0,0.006604007949652203
06,112,0600112,1,1,81.0,0.001676879761510434
06,112,0600112,1,2,236.0,0.004885723749585956
06,112,0600112,1,3,129.0,0.0026705862868499504
06,112,0600112,1,4,249.0,0.005154852600198741
06,112,0600112,1,5,146.0,0.0030225240145743625
06,112,0600112,1,6,562.0,0.011634647234183504
06,112,0600112,1,7,113.00000000000001,0.002339350778403445
06,112,0600112,1,8,244.00000000000003,0.005051341503809209
06,112,0600112,1,9,599.0,0.012400629347466049
06,112,0600112,1,10,796.0,0.016478966545213646
06,112,0600112,1,11,1644.9999999999998,0.03405515071215634
06,112,0600112,1,12,1025.0,0.021219774759854256
06,112,0600112,1,13,961.0,0.019894832726068234
06,112,0600112,1,14,2395.0,0.04958181517058629
06,112,0600112,1,15,7037.000000000001,0.1456815170586287
06,112,0600112,2,0,593.0,0.012276416031798609
06,112,0600112,2,1,131.0,0.0027119907254057633
06,112,0600112,2,2,185.0,0.0038299105664127194
06,112,0600112,2,3,191.0,0.003954123882080159
06,112,0600112,2,4,278.0,0.005755216959258033
06,112,0600112,2,5,231.0,0.004782212653196422
06,112,0600112,2,6,269.0,0.005568896985756873
06,112,0600112,2,7,148.0,0.0030639284531301754
06,112,0600112,2,8,192.00000000000003,0.003974826101358066
06,112,0600112,2,9,828.0,0.01714143756210666
06,112,0600112,2,10,661.0,0.013684166942696257
06,112,0600112,2,11,1435.0,0.029707684663795957
06,112,0600112,2,12,1381.0,0.028589764822789004
06,112,0600112,2,13,1422.0,0.029438555813183172
06,112,0600112,2,14,1861.0,0.03852683007618417
06,112,0600112,2,15,7368.000000000001,0.15253395163961578
06,112,0600112,3,0,547.0,0.011324113945014905
06,112,0600112,3,1,766.0,0.01585789996687645
06,112,0600112,3,2,320.0,0.006624710168930109
06,112,0600112,3,3,467.00000000000006,0.009667936402782379
06,112,0600112,3,4,272.0,0.005631003643590593
06,112,0600112,3,5,457.99999999999994,0.009481616429281218
06,112,0600112,3,6,479.0,0.009916363034117257
06,112,0600112,3,7,311.0,0.00643839019542895
06,112,0600112,3,8,380.0,0.007866843325604505
06,112,0600112,3,9,805.0,0.016665286518714805
06,112,0600112,3,10,1125.0,0.023289996687644917
06,112,0600112,3,11,1792.0,0.037098376946008614
06,112,0600112,3,12,955.0000000000001,0.019770619410400796
06,112,0600112,3,13,1073.0,0.02221348128519377
06,112,0600112,3,14,1164.0,0.024097383239483273
06,112,0600112,3,15,3026.0,0.06264491553494535
06,113,0600113,0,0,83.0,0.0021069733201330185
06,113,0600113,0,1,0.0,0.0
06,113,0600113,0,2,117.0,0.002970070824765821
06,113,0600113,0,3,7.0,0.0001776965450714594
06,113,0600113,0,4,38.0,0.0009646383875307796
06,113,0600113,0,5,12.999999999999998,0.00033000786941842457
06,113,0600113,0,6,75.0,0.001903891554337065
06,113,0600113,0,7,110.0,0.002792374279694362
06,113,0600113,0,8,0.0,0.0
06,113,0600113,0,9,76.0,0.0019292767750615592
06,113,0600113,0,10,12.999999999999998,0.00033000786941842457
06,113,0600113,0,11,23.0,0.0005838600766633666
06,113,0600113,0,12,152.0,0.0038585535501231183
06,113,0600113,0,13,20.0,0.000507704414489884
06,113,0600113,0,14,0.0,0.0
06,113,0600113,0,15,18.0,0.0004569339730408956
06,113,0600113,1,0,1005.0,0.025512146828116672
06,113,0600113,1,1,316.0,0.008021729748940167
06,113,0600113,1,2,745.0,0.01891198943974818
06,113,0600113,1,3,207.99999999999997,0.005280125910694793
06,113,0600113,1,4,1024.0,0.02599446602188206
06,113,0600113,1,5,630.0,0.015992689056431347
06,113,0600113,1,6,1369.0,0.03475236717183256
06,113,0600113,1,7,350.0,0.00888482725357297
06,113,0600113,1,8,459.0,0.011651816312542838
06,113,0600113,1,9,1140.0,0.028939151625923386
06,113,0600113,1,10,1277.9999999999998,0.032442312085903584
06,113,0600113,1,11,1543.0,0.03916939557789455
06,113,0600113,1,12,844.0,0.021425126291473105
06,113,0600113,1,13,769.0,0.019521234737136038
06,113,0600113,1,14,1189.0,0.030183027441423604
06,113,0600113,1,15,2002.9999999999998,0.05084659711116188
06,113,0600113,2,0,1270.0,0.032239230320107636
06,113,0600113,2,1,554.0,0.014063412281369786
06,113,0600113,2,2,716.0,0.018175818038737846
06,113,0600113,2,3,916.0000000000001,0.02325286218363669
06,113,0600113,2,4,563.0,0.014291879267890235
06,113,0600113,2,5,384.0,0.009747924758205772
06,113,0600113,2,6,612.0,0.01553575508339045
06,113,0600113,2,7,556.0,0.014114182722818775
06,113,0600113,2,8,706.0,0.017921965831492904
06,113,0600113,2,9,685.9999999999999,0.01741426141700302
06,113,0600113,2,10,1576.0,0.04000710786180286
06,113,0600113,2,11,1920.0,0.04873962379102886
06,113,0600113,2,12,1666.0,0.04229177772700734
06,113,0600113,2,13,1102.0,0.027974513238392607
06,113,0600113,2,14,1071.0,0.027187571395933287
06,113,0600113,2,15,1346.0,0.03416850709516919
06,113,0600113,3,0,740.0,0.01878506333612571
06,113,0600113,3,1,732.0,0.018581981570329753
06,113,0600113,3,2,927.0,0.023532099611606124
06,113,0600113,3,3,480.0,0.012184905947757216
06,113,0600113,3,4,373.0,0.009468687330236336
06,113,0600113,3,5,243.0,0.00616860863605209
06,113,0600113,3,6,242.00000000000003,0.006143223415327597
