statefp,puma,puma_uid,variable,category,target,table_id,universe,source,acs_year,geo_level,schema
26,00100,2600100,EARN_16p_bin,25k_50k,23564.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00100,2600100,EARN_16p_bin,50k_75k,14451.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00100,2600100,EARN_16p_bin,75k_100k,6007.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00100,2600100,EARN_16p_bin,ge_100k,6346.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00100,2600100,EARN_16p_bin,lt_25k,37439.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00100,2600100,EARN_16p_bin,not_in_earnings_universe,84297.0,B20001+B01001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00200,2600200,EARN_16p_bin,25k_50k,17681.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00200,2600200,EARN_16p_bin,50k_75k,10349.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00200,2600200,EARN_16p_bin,75k_100k,4934.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00200,2600200,EARN_16p_bin,ge_100k,3844.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00200,2600200,EARN_16p_bin,lt_25k,26361.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00200,2600200,EARN_16p_bin,not_in_earnings_universe,66986.0,B20001+B01001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00300,2600300,EARN_16p_bin,25k_50k,18048.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00300,2600300,EARN_16p_bin,50k_75k,9909.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
26,00300,2600300,EARN_16p_bin,75k_100k,4395.0,B20001,all_persons,acs5_api,2022,puma,external_condition_earn_v1
