statefp,puma,puma_uid,variable,category,target,table_id,universe,source,acs_year,geo_level,schema
26,00100,2600100,AGEP_SEX_cross,"[0.0, 5.0)__1",3893.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[0.0, 5.0)__2",3769.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[18.0, 25.0)__1",12991.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[18.0, 25.0)__2",10012.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[25.0, 35.0)__1",10224.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[25.0, 35.0)__2",8418.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[35.0, 45.0)__1",9676.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[35.0, 45.0)__2",8533.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[45.0, 55.0)__1",9578.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[45.0, 55.0)__2",8798.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[5.0, 18.0)__1",12139.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[5.0, 18.0)__2",11201.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[55.0, 65.0)__1",12740.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[55.0, 65.0)__2",12159.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[65.0, 75.0)__1",11651.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[65.0, 75.0)__2",10788.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[75.0, 85.0)__1",5072.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[75.0, 85.0)__2",5766.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[85.0, 1000.0)__1",1803.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_SEX_cross,"[85.0, 1000.0)__2",2893.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_bin,"[0.0, 5.0)",7662.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_bin,"[18.0, 25.0)",23003.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_bin,"[25.0, 35.0)",18642.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_bin,"[35.0, 45.0)",18209.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_bin,"[45.0, 55.0)",18376.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_bin,"[5.0, 18.0)",23340.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_bin,"[55.0, 65.0)",24899.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_bin,"[65.0, 75.0)",22439.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_bin,"[75.0, 85.0)",10838.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,AGEP_bin,"[85.0, 1000.0)",4696.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,ESR_allpop,armed_forces,176.0,B23025,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,ESR_allpop,employed,76158.0,B23025,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,ESR_allpop,not_16p,27422.0,B23025,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,ESR_allpop,not_in_labor_force,63987.0,B23025,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,ESR_allpop,unemployed,4361.0,B23025,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,SCHL_allpop,bachelor_plus,34340.0,B15003,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,SCHL_allpop,high_school_or_ged,37690.0,B15003,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,SCHL_allpop,less_than_high_school,6018.0,B15003,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,SCHL_allpop,not_25p,54005.0,B15003,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,SCHL_allpop,some_college_or_assoc,40051.0,B15003,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,SEX,1,89767.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00100,2600100,SEX,2,82337.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[0.0, 5.0)__1",2985.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[0.0, 5.0)__2",2803.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[18.0, 25.0)__1",5968.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[18.0, 25.0)__2",4870.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[25.0, 35.0)__1",7780.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[25.0, 35.0)__2",6343.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[35.0, 45.0)__1",8105.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[35.0, 45.0)__2",6275.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[45.0, 55.0)__1",8397.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[45.0, 55.0)__2",7314.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[5.0, 18.0)__1",9327.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[5.0, 18.0)__2",8471.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
26,00200,2600200,AGEP_SEX_cross,"[55.0, 65.0)__1",10514.0,B01001,all_persons,acs5_api,2022,puma,external_condition_v1_agesex
