person_id,puma,AGEP,PINCP,SEX,bldg_id,price_tier
0,3210,40.442875,16512.32,1,1115808311,3
1,3203,48.76994,38449.723,2,UnitedStates_030223203_272899,4
2,3202,57.620255,22761.123,2,225789484,5
3,3202,65.72798,175032.22,2,717902785,5
4,3212,60.83963,48048.883,2,1213919481,5
5,3213,30.02452,246251.58,1,UnitedStates_030223212_92925,5
6,3210,26.618212,0.14959756,2,1126503477,1
7,3211,31.905437,50108.992,2,59264067,4
8,3209,78.80447,182149.22,1,UnitedStates_030223203_100903,5
9,3213,63.430386,119866.055,1,UnitedStates_030223212_89795,5
10,3212,21.278145,1817.4196,1,984762734,1
11,3202,96.93991,89413.93,2,717902785,5
12,3212,61.85334,8261.438,1,375032309,2
13,3202,23.5463,19988.867,1,823791824,5
14,3211,24.491465,0.0,2,58431589,1
15,3202,46.1231,117104.75,2,823791824,5
16,3212,20.664766,1655.8381,1,439082526,1
17,3209,55.298687,15578.323,2,688986119,2
18,3203,56.54564,49946.87,1,439633852,4
19,3208,29.60277,25305.652,1,893151811,3
20,3202,33.356384,29692.633,1,823791824,5
21,3202,17.943884,3200.0852,1,717902785,5
22,3211,76.77358,4317.9253,1,369321773,1
23,3210,25.350956,41728.543,2,318396104,5
24,3210,71.605545,8230.592,1,512995085,2
25,3208,39.40278,16101.816,1,732129287,3
26,3213,18.165436,0.0,1,UnitedStates_030223203_871735,1
27,3213,61.947166,52231.168,1,UnitedStates_030223212_71687,4
28,3211,27.085535,9022.838,2,865148956,2
29,3210,69.58177,35769.355,2,UnitedStates_030223203_971906,4
30,3211,34.250298,21821.646,1,1023815159,3
31,3208,42.54667,10779.115,1,715321510,2
32,3202,25.6811,17065.277,2,717902785,5
33,3211,80.755646,0.0,1,559461346,1
34,3209,29.273302,134611.8,2,UnitedStates_030223203_673329,5
35,3203,21.053507,0.020161917,1,439633864,1
36,3209,21.11416,22249.451,2,UnitedStates_030223203_23410,3
37,3213,72.99894,47799.332,2,UnitedStates_030223212_65448,4
38,3213,41.153507,80194.75,1,1201772941,5
39,3208,77.34012,7557.035,1,762123411,2
40,3210,73.723434,13741.557,2,UnitedStates_030223203_288550,3
41,3203,26.782682,26636.846,1,439633869,3
42,3210,48.226772,28589.477,1,UnitedStates_030223203_777790,4
43,3203,47.777966,90104.05,2,439633857,5
44,3208,42.62616,24929.945,1,1287353832,3
45,3213,35.99881,44496.273,2,UnitedStates_030223212_118174,4
46,3203,21.641947,1566.7266,2,439633864,1
